College Name ,City and State ,Selectivity 
Touro College ," New York, NY ",3
Union College ," Schenectady, NY ",1
United States Merchant Marine Academy ," Kings Point, NY ",2
United States Military Academy ," West Point, NY ",1
University at Albany / SUNY ," Albany, NY ",3
University at Buffalo / The State University of New York ," Buffalo, NY ",3
University of Rochester ," Rochester, NY ",1
Vassar College ," Poughkeepsie, NY ",1
Wagner College ," Staten Island, NY ",3
Webb Institute ," Glen Cove, NY ",1
Wells College ," Aurora, NY ",3
Yeshiva University ," New York, NY ",3
Appalachian State University ," Boone, NC ",3
Davidson College ," Davidson, NC ",1
Duke University ," Durham, NC ",1
Elon University ," Elon, NC ",2
Montreat College ," Montreat, NC ",3
North Carolina State University ," Raleigh, NC ",2
Queens University of Charlotte ," Charlotte, NC ",3
Salem College ," Winston Salem, NC ",3
University of North Carolina at Asheville ," Asheville, NC ",3
University of North Carolina at Chapel Hill ," Chapel Hill, NC ",1
University of North Carolina at Wilmington ," Wilmington, NC ",3
Wake Forest University ," Winston Salem, NC ",1
Warren Wilson College ," Asheville, NC ",3
Baldwin Wallace University ," Berea, OH ",3
Capital University ," Columbus, OH ",3
Case Western Reserve University ," Cleveland, OH ",1
Cedarville University ," Cedarville, OH ",3
College of Wooster ," Wooster, OH ",3
Denison University ," Granville, OH ",2
Franciscan University of Steubenville ," Steubenville, OH ",3
Hiram College ," Hiram, OH ",3
Kenyon College ," Gambier, OH ",1
Marietta College ," Marietta, OH ",3
Miami University ," Oxford, OH ",2
Notre Dame College ," South Euclid, OH ",3
Oberlin College ," Oberlin, OH ",1
Ohio Northern University ," Ada, OH ",3
Ohio State University at Marion ," Marion, OH ",1
Ohio University ," Athens, OH ",3
The Ohio State University ," Columbus, OH ",1
University of Cincinnati ," Cincinnati, OH ",3
University of Dayton ," Dayton, OH ",3
Wittenberg University ," Springfield, OH ",3
Xavier University ," Cincinnati, OH ",3
Northeastern State University ," Tahlequah, OK ",3
Oklahoma Baptist University ," Shawnee, OK ",3
Oklahoma Christian University ," Oklahoma City, OK ",3
Oklahoma City University ," Oklahoma City, OK ",3
Oklahoma State University ," Stillwater, OK ",3
University of Oklahoma ," Norman, OK ",3
University of Science and Arts of Oklahoma ," Chickasha, OK ",3
University of Tulsa ," Tulsa, OK ",2
Lewis & Clark College ," Portland, OR ",3
Reed College ," Portland, OR ",1
University of Oregon ," Eugene, OR ",3
University of Portland ," Portland, OR ",3
Willamette University ," Salem, OR ",3
Allegheny College ," Meadville, PA ",2
Bryn Mawr College ," Bryn Mawr, PA ",1
Bucknell University ," Lewisburg, PA ",1
Carnegie Mellon University ," Pittsburgh, PA ",1
Chatham University ," Pittsburgh, PA ",3
Dickinson College ," Carlisle, PA ",2
Drexel University ," Philadelphia, PA ",2
Duquesne University ," Pittsburgh, PA ",3
Elizabethtown College ," Elizabethtown, PA ",3
Elizabethtown College School of Continuing and Professional Studies ," Elizabethtown, PA ",3
Franklin and Marshall College ," Lancaster, PA ",1
Gettysburg College ," Gettysburg, PA ",2
Grove City College ," Grove City, PA ",2
Haverford College ," Haverford, PA ",1
Juniata College ," Huntingdon, PA ",3
Lafayette College ," Easton, PA ",2
Lehigh University ," Bethlehem, PA ",1
Messiah College ," Mechanicsburg, PA ",3
Moravian College ," Bethlehem, PA ",3
Muhlenberg College ," Allentown, PA ",2
Penn State University/University Park ," University Park, PA ",3
Saint Joseph's University ," Philadelphia, PA ",3
Swarthmore College ," Swarthmore, PA ",1
Temple University ," Philadelphia, PA ",3
University of Pennsylvania ," Philadelphia, PA ",1
University of Pittsburgh at Pittsburgh ," Pittsburgh, PA ",2
University of Scranton ," Scranton, PA ",3
University of the Sciences ," Philadelphia, PA ",3
Ursinus College ," Collegeville, PA ",3
Villanova University ," Villanova, PA ",1
Washington and Jefferson College ," Washington, PA ",3
Brown University ," Providence, RI ",1
Bryant University ," Smithfield, RI ",3
Providence College ," Providence, RI ",2
Salve Regina University ," Newport, RI ",3
Clemson University ," Clemson, SC ",2
College of Charleston ," Charleston, SC ",3
Furman University ," Greenville, SC ",2
Presbyterian College ," Clinton, SC ",3
University of South Carolina at Columbia ," Columbia, SC ",3
Winthrop University ," Rock Hill, SC ",3
Wofford College ," Spartanburg, SC ",3
Augustana College ," Sioux Falls, SD ",3
South Dakota School of Mines and Technology ," Rapid City, SD ",3
Belmont University ," Nashville, TN ",3
Christian Brothers University ," Memphis, TN ",2
Freed-Hardeman University ," Henderson, TN ",3
Lipscomb University ," Nashville, TN ",3
Maryville College ," Maryville, TN ",3
Rhodes College ," Memphis, TN ",2
Sewanee: The University of the South ," Sewanee, TN ",2
Union University ," Jackson, TN ",3
University of Tennessee at Knoxville ," Knoxville, TN ",3
University of Tennessee at Martin ," Martin, TN ",3
Vanderbilt University ," Nashville, TN ",1
Abilene Christian University ," Abilene, TX ",3
Austin College ," Sherman, TX ",2
Baylor University ," Waco, TX ",2
Rice University ," Houston, TX ",1
Southern Methodist University ," Dallas, TX ",1
Southwestern University ," Georgetown, TX ",3
St. Edward's University ," Austin, TX ",3
Texas A&M University ," College Station, TX ",3
Texas Christian University ," Fort Worth, TX ",2
Texas State University ," San Marcos, TX ",3
Trinity University ," San Antonio, TX ",2
University of Dallas ," Irving, TX ",3
University of Houston ," Houston, TX ",3
University of St. Thomas - Houston ," Houston, TX ",3
University of Texas at Austin ," Austin, TX ",2
University of Texas at Dallas ," Richardson, TX ",2
Brigham Young University ," Provo, UT ",2
University of Utah ," Salt Lake City, UT ",3
Westminster College ," Salt Lake City, UT ",3
Bennington College ," Bennington, VT ",2
Champlain College ," Burlington, VT ",3
Goddard College ," Plainfield, VT ",3
Marlboro College ," Marlboro, VT ",3
Middlebury College ," Middlebury, VT ",1
Saint Michael's College ," Colchester, VT ",3
University of Vermont ," Burlington, VT ",3
Christendom College ," Front Royal, VA ",3
Christopher Newport University ," Newport News, VA ",3
College of William & Mary ," Williamsburg, VA ",1
Eastern Mennonite University ," Harrisonburg, VA ",3
George Mason University ," Fairfax, VA ",3
Hollins University ," Roanoke, VA ",3
James Madison University ," Harrisonburg, VA ",3
Randolph College ," Lynchburg, VA ",3
University of Mary Washington ," Fredericksburg, VA ",3
University of Richmond ," Richmond, VA ",1
University of Virginia ," Charlottesville, VA ",1
Virginia Polytechnic Institute and State University ," Blacksburg, VA ",2
Washington and Lee University ," Lexington, VA ",1
Gonzaga University ," Spokane, WA ",2
Pacific Lutheran University ," Tacoma, WA ",3
Seattle Pacific University ," Seattle, WA ",3
Seattle University ," Seattle, WA ",3
University of Puget Sound ," Tacoma, WA ",2
University of Washington ," Seattle, WA ",3
Western Washington University ," Bellingham, WA ",3
Whitman College ," Walla Walla, WA ",1
Whitworth University ," Spokane, WA ",3
American University ," Washington, D.C. ",2
George Washington University ," Washington, D.C. ",1
Georgetown University ," Washington, D.C. ",1
The Catholic University of America ," Washington, D.C. ",3
Beloit College ," Beloit, WI ",2
Lawrence University ," Appleton, WI ",2
Marquette University ," Milwaukee, WI ",3
Milwaukee School of Engineering ," Milwaukee, WI ",3
St. Norbert College ," De Pere, WI ",3
University of Wisconsin/Eau Claire ," Eau Claire, WI ",3
University of Wisconsin/La Crosse ," La Crosse, WI ",3
University of Wisconsin/Madison ," Madison, WI ",2
Wisconsin Lutheran College ," Milwaukee, WI ",3
